Primer cuatrimestre 2023,,,,,,,,,,,
MES DE ENERO,,,MES DE FEBRERO,,,MES DE MARZO,,,MES DE ABRIL,,
DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO​,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO
1,Feriado,Feriado,1,sábado,sábado,1,sábado,sábado,1,Bs. 69.78,Bs. 101.60
2,52.03​,66.89,2,domingo,domingo,2,domingo,domingo,2,Bs. 70.01,Bs. 103.93
3,Bs. 52.57,Bs. 66.93,3,58.44​,69.35,3,Carnaval,Carnaval,3,Bs. 70.25,Bs. 99.47
4,sábado,sábado,4,Bs. 58.54,Bs. 71.31,4,Carnaval,Carnaval,4,Bs. 70.59,Bs. 97.4
5,domingo,domingo,5,Bs. 58.79,Bs. 72.18,5,Bs. 64.48,Bs. 77.88,5,sábado,sábado
6,Bs. 53.01,Bs. 65.77,6,Bs. 59.46,Bs. 72.19,6,Bs. 64.61,Bs. 80.30,6,domingo,domingo
7,Bs. 53.01,Bs. 64.22,7,Bs. 60.14,Bs. 72.18,7,Bs. 64.74,Bs. 78.65,7,Bs. 72.18,Bs. 97.75
8,Bs. 53.07,Bs. 66.89,8,sábado,sábado,8,sábado,sábado,8,Bs. 73.36​,Bs. 104.67
9,Bs. 53.28,Bs. 67.57,9,domingo,domingo,9,domingo,domingo,9,Bs. 74.27,Bs. 104.35
10,Bs. 53.85,Bs. 68.23,10,Bs. 60.52,Bs. 72.54,10,Bs. 65.26,Bs. 79.19,10,Bs. 75.80,Bs. 99.80
11,sábado,sábado,11,Bs. 60.54,Bs. 74.27,11,Bs. 65.41,Bs. 80.91,11,Bs. 77.26,Bs. 101.09
12,domingo,domingo,12,Bs. 61.02,Bs. 76.00,12,Bs. 65.62,Bs. 79.82,12,sábado,sábado
13,Bs. 53.85,Bs. 65.97,13,Bs. 61.34,Bs. 76.96,13,Bs. 66.25,Bs. 80.38,13,domingo,domingo
14,Bs. 53.88 ​,Bs. 65.10,14,Bs. 61.82,Bs. 76.01,14,Bs. 66.43,Bs. 80.12,14,Bs. 78.36,Bs. 99.67
15,Bs. 53.96,Bs. 65.74,15,sábado,sábado,15,sábado,sábado,15,Bs. 78.59,Bs. 100.64
16,Bs. 54.36,Bs. 64.72,16,domingo,domingo,16,domingo,domingo,16,Bs. 79.78,Bs. 100.37
17,Bs. 54.76,Bs. 64.71,17,Bs. 62.07,Bs. 77.22,17,Bs. 66.55,Bs. 81.37,17,Jueves Santo,Jueves Santo
18,sábado,sábado,18,Bs. 62.09,Bs. 79.51,18,Bs. 66.78,Bs. 84.45,18,Viernes Santo,Viernes Santo
19,domingo,domingo,19,Bs. 62.18,Bs. 80.99,19,Bs. 67.34,Bs. 87.65,19,sábado,sábado
20,Bs. 54.91,Bs. 64.27,20,Bs. 62.51,Bs. 79.50,20,Bs. 67.63,Bs. 87.85,20,domingo,domingo
21,Bs. 54.98,Bs. 65.48,21,Bs. 63.20,Bs. 78.99,21,Bs. 67.86,Bs. 88.09,21,Bs. 80.95,Bs. 103.06
22,Bs. 55.29,Bs. 66.81,22,sábado,sábado,22,sábado,sábado,22,Bs. 81.76,Bs. 104.12
23,Bs. 55.76,Bs. 67.00,23,domingo,domingo,23,domingo,domingo,23,Bs. 82.38,Bs. 106.18
24,Bs. 56.28,Bs. 66.44,24,Bs. 63.41,Bs. 79.62,24,Bs. 68.31,Bs. 89.86,24,Bs. 83.42,Bs. 104.40
25,sábado,sábado,25,Bs. 63.49,Bs. 81.56,25,Bs. 68.39,Bs. 95.60,25,Bs. 84.42,Bs. 104.96
26,domingo,domingo,26,Bs. 64.02,Bs. 82.47,26,Bs. 68.69,Bs. 102.96,26,sábado,sábado
27,Bs. 56.65,Bs. 66.45,27,Bs. 64.24,Bs. 80.24,27,Bs. 69.01,Bs. 106.93,27,domingo,domingo
28,Bs. 56.85,Bs. 68.43,28,Bs. 64.24,Bs. 79.35,28,Bs. 69.43,Bs. 101.59,28,Bs. 86.11,Bs. 106.05
29,Bs. 57.29,Bs. 69.80,,,,29,sábado,sábado,29,Bs. 86.66,Bs. 110.71
30,Bs. 57.39,Bs. 69.54,,,,30,domingo,domingo,30,Bs. 86.84,Bs. 108.90​
31,Bs. 57.96,Bs. 68.34,,,,31,Bs. 69.56​,Bs. 99.00,,,
Segundo cuatrimestre 2025,,,,,,,,,,,
MES DE MAYO,,,MES DE JUNIO,,,MES DE JULIO,,,MES DE AGOSTO,,
DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO
1,Feriado,Bs. 108.53,1,domingo,domingo,1,Bs. 108.18,Bs. 140.65,1,"Bs. 125,42","Bs. 165,10"
2,Bs. 87.56,Bs. 109.2,2,feriado,Bs. 132.45,2,Bs. 108.97,Bs. 141.55,2,sábado,sábado
3,sábado,sábado,3,Bs. 97.31,Bs. 126.67,3,Bs. 109.77,Bs. 141.97,3,domingo,domingo
4,domingo,domingo,4,Bs. 97.41,Bs. 137.00,4,Bs. 110.55,Bs. 142.77,4,"Bs. 126,28","Bs. 165,99"
5,Bs. 88.64,Bs. 112.30,5,Bs. 97.90,Bs. 139.90,5,sábado,sábado,5,"Bs. 127,10","Bs. 173,25"
6,Bs. 88.72,Bs. 113.82,6,Bs. 98.51,Bs. 138.00,6,domingo,domingo,6,"Bs. 128,24","Bs. 173,25"
7,Bs. 91.21,Bs. 115.01,7,sábado,sábado,7,Bs. 111.41,Bs. 139.73,7,"Bs. 129,05","Bs. 185,57"
8,Bs. 91.91,Bs. 117.0,8,domingo,domingo,8,Bs. 112.12,Bs. 143.21,8,"Bs. 130,06","Bs. 184,23"
9,Bs. 92.83,Bs. 114.45,9,Bs. 99.06,Bs. 130.24,9,Bs. 112.82,Bs. 145.04,9,sábado,sábado
10,sábado,sábado,10,Bs. 99.12,Bs. 132.73,10,Bs. 113.75,Bs. 146.83,10,domingo,domingo
11,domingo,domingo,11,Bs. 99.69,Bs. 131.64,11,Bs. 114.41,Bs. 148.01,11,"Bs. 131,12","Bs. 185,43"
12,Bs. 93.05,Bs. 115.2,12,Bs. 100.33,Bs. 133.57,12,sábado,sábado,12,"Bs. 132,30","Bs. 186,56"
13,Bs. 93.06,Bs. 119.4,13,Bs. 101.08,Bs. 132.83,13,domingo,domingo,13,"Bs. 133,51","Bs. 190,84"
14,Bs. 93.58,Bs. 119.82,14,sábado,sábado,14,Bs. 115.32,Bs. 149.76,14,"Bs. 134,48","Bs. 190,79"
15,Bs. 94.15,Bs. 118.02,15,domingo,domingo,15,Bs. 115.84,Bs.150.47,15,"Bs. 135,63","Bs. 192,0"
16,Bs. 94.32,"Bs. 119,17",16,Bs. 101.08,Bs. 133.85,16,Bs. 116.81,Bs. 150.95,16,sábado,sábado
17,sábado,sábado,17,Bs. 102.15,Bs. 134.80,17,Bs. 117.40,Bs. 151.48,17,domingo,domingo
18,domingo,domingo,18,Bs. 102.80,Bs. 138.99,18,Bs. 118.28,Bs. 152.33,18,"Bs. 136,89","Bs. 199,61"
19,Bs. 94.76,Bs. 125.80,19,Bs. 103.73,Bs. 139.52,19,sábado,sábado,19,"Bs. 136,89","Bs. 201,18"
20,Bs. 94.80,Bs. 130.08,20,Bs. 104.54,Bs. 138.79,20,domingo,domingo,20,"Bs. 138,12","Bs. 205,08"
21,Bs. 94.86,Bs. 131.46,21,sábado,sábado,21,Bs. 119.14,Bs. 151.87,21,"Bs. 139,40","Bs. 217,99"
22,Bs. 94.97,Bs. 133.34,22,domingo,domingo,22,Bs. 119.66,Bs. 159.57,22,"Bs. 140,66","Bs224,87"
23,Bs. 95.01,Bs. 133.15,23,Bs. 104.54,Bs. 140.19,23,Bs. 120.42,Bs. 163.94,23,sábado,sábado
24,sábado,sábado,24,Bs. 104.54,Bs. 140.44,24,Bs. 121.34,Bs. 164.66,24,domingo,domingo
25,domingo,domingo,25,Bs. 105.45,Bs. 140.49,25,Bs. 121.35,Bs. 161.28,25,"Bs. 141,88","Bs. 214,75"
26,Bs. 95.08,Bs. 135.26,26,Bs. 106.16,Bs. 141.91,26,sábado,sábado,26,"Bs. 143,03","Bs. 217,05"
27,Bs. 95.23,Bs. 142.40,27,Bs. 106.86,"Bs. 140,58",27,domingo,domingo,27,"Bs. 144,37","Bs. 216,74"
28,Bs. 95.81,Bs. 141.80,28,sábado,sábado,28,Bs. 122.17,Bs. 163.09,28,"Bs. 145,74","Bs. 217,97"
29,Bs. 96.53,Bs. 138.63,29,domingo,domingo,29,Bs. 122.84,"Bs. 165,88",29,"Bs. 147,08","Bs. 207,33"
30,Bs. 96.85​,Bs. 135.75,30,Bs. 107.62,Bs. 140.23,30,"Bs. 123,87","Bs. 166,10",30,sábado,sábado
31,sábado,sábado,,,,31,Bs. 124.51,"Bs. 164,83",31,domingo,domingo
,,,,,,,,,,,
,,,,,,,,,,,
Tercer cuatrimestre 2025,,,,,,,,,,,
MES DE SEPTIEMBRE,,,MES DE OCTUBRE,,,MES DE NOVIEMBRE,,,MES DE DICIEMBRE,,
DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO,DÍA,BCV​,PARALELO
1,"Bs. 148,44","Bs. 210,33",1,Bs. 179.43,Bs. 291.57,1,sábado,sábado,1,Bs. 247.30​,Bs. 378.50
2,"Bs. 149,46","Bs. 213,76",2,Bs. 181.30,Bs. 292.81,2,domingo,domingo,2,Bs. 247.40,Bs. 390.24
3,"Bs. 150,79","Bs. 214,52",3,Bs. 183.13,Bs. 293.32,3,"Bs. 223,96",Bs. 305.59,3,Bs. 249.19,Bs. 403.48
4,"Bs. 151,76","Bs. 219,87",4,sábado,sábado,4,"Bs. 224,37",Bs. 314.67,4,Bs. 251.88,Bs. 418.79
5,"Bs. 152,82","Bs. 218,11",5,domingo,domingo,5,"Bs. 226,13",Bs. 317.22,5,Bs. 254.87,Bs. 430.53
6,sábado,sábado,6,Bs. 185.39,Bs. 293.54,6,Bs. 227.55,Bs. 321.57,6,sábado,sábado
7,domingo,domingo,7,Bs. 187.28,Bs. 300.93,7,Bs. 228.47,Bs. 320.56,7,domingo,domingo
8,Bs. 154.01,Bs. 225.95,8,Bs. 189.25,Bs. 304.89,8,sábado,sábado,8,Bs. 257.92,Bs. 427.88
9,Bs. 154.98,Bs. 227.62,9,Bs. 191.36,Bs. 304.35,9,domingo,domingo,9,Bs. 257.92,Bs. 425.88
10,Bs. 156.37,Bs. 236.24,10,Bs. 193.29,Bs. 300.19,10,"Bs. 231,04",Bs. 320.24,10,Bs. 262.10,Bs.430.99
11,Bs. 157.72,Bs. 244.62,11,sábado,sábado,11,Bs. 231.09,Bs. 327.99,11,Bs. 265.06,Bs. 433.57
12,Bs. 158.92,Bs. 241.68,12,domingo,domingo,12,Bs. 233.04,Bs. 338.28,12,Bs. 267.64,Bs. 432.89
13,sábado,sábado,13,Bs. 195.24,Bs. 298.12,13,Bs. 233.55,Bs. 342.92,13,sábado,sábado
14,domingo,domingo,14,Bs. 197.24,Bs. 299.86,14,Bs. 234.87,Bs. 333.70,14,domingo,domingo
15,Bs. 160.44,Bs. 247.98,15,Bs. 199.10,Bs. 297.09,15,sábado,sábado,15,Bs. 270.78​,Bs. 429.06
16,Bs. 160.44,Bs. 243.39,16,Bs. 201.46,Bs. 297.28,16,domingo,domingo,16,Bs. 273.58,Bs. 438.00
17,Bs. 161.88,Bs. 263.57,17,Bs. 203.74,Bs. 301.92,17,Bs. 236.46,Bs. 337.87,17,Bs. 276.57,Bs. 449.00
18,Bs. 163.64,Bs. 264.39,18,sábado,sábado,18,Bs. 236.83,Bs. 345.53,18,Bs. 279.56,Bs. 476.00
19,Bs. 165.41,Bs. 265.51,19,domingo,domingo,19,Bs. 237.75,Bs. 345.44,19,Bs. 282.51​,Bs. 497.00
20,sábado,sábado,20,Bs. 205.67,Bs. 306.84,20,Bs. 240.32,Bs. 348.73,20,sábado,sábado
21,domingo,domingo,21,feriado,feriado,21,Bs. 241.57,Bs. 248.57,21,domingo,domingo
22,Bs. 166.58,Bs. 267.33,22,Bs. 210.28,Bs. 311.22,22,sábado,sábado,22,Bs. 285.40,Bs. 488.00
23,Bs. 168.41,Bs. 270.71,23,Bs. 212.48,Bs. 310.66,23,domingo,domingo,23,Bs. 288.44,Bs. 493.00
24,Bs. 169.97,Bs. 282.07,24,Bs. 214.41,Bs. 311.44,24,Bs. 243.11,Bs. 354.84,24,Bs. 291.35,"Bs. 496,00"
25,Bs. 171.94,Bs. 297.99,25,sábado,sábado,25,Bs. 243.11,Bs. 357.57,25,Navidad,Bs. Navidad
26,Bs. 173.73,Bs. 299.29,26,domingo,domingo,26,Bs. 243.57,Bs. 379.18,26,Bs. 291.35,Bs. 514.00
27,sábado,sábado,27,Bs. 216.37,Bs. 308.87,27,Bs. 244.65,Bs. 382.57,27,sábado,sábado
28,domingo,domingo,28,"Bs. 218,17",Bs. 314.33,28,Bs. 245.67,Bs. 372.47,28,domingo,domingo
29,Bs. 175.64,Bs. 285.25,29,"Bs. 219,87",Bs. 313.24,29,sábado,sábado,29,Bs. 294.96,Bs. 554.00
30,Bs. 177.61,Bs. 288.50,30,"Bs221,74",Bs. 310.86,30,domingo,domingo,30,Bs. 298.14​,Bs. 572.00
,,,31,"Bs223,64",Bs. 308.10,,,,31,Bs. 301.37​,Bs. 587.00
